clean_image,distorted_image,method,psnr
4552870,4552867,new,34.472336
4552870,4552868,ref,36.299767
4552878,4552875,new,42.4527
4552878,4552876,ref,34.589077
4552886,4552883,new,43.457188
4552886,4552884,ref,37.60771
4552894,4552891,new,42.94786
4552894,4552892,ref,31.693317
4552914,4552911,new,39.312202
4552914,4552912,ref,34.75189
4552918,4552915,new,37.53107
4552918,4552916,ref,35.35242
4552934,4552931,new,41.27264
4552934,4552932,ref,33.411167
4552942,4552939,new,39.533916
4552942,4552940,ref,34.28787
4552954,4552951,new,40.38563
4552954,4552952,ref,36.11342
4552998,4552995,new,37.249443
4552998,4552996,ref,31.43198
4553006,4553003,new,40.71469
4553006,4553004,ref,34.488266
4553034,4553031,new,42.709812
4553034,4553032,ref,34.363514
4553074,4553071,new,37.01258
4553074,4553072,ref,33.736294
4553138,4553135,new,40.14027
4553138,4553136,ref,36.334568
4553178,4553175,new,42.955547
4553178,4553176,ref,36.28176
4553186,4553183,new,40.338448
4553186,4553184,ref,28.519005
4553198,4553195,new,36.667454
4553198,4553196,ref,41.59707
4553234,4553231,new,36.259357
4553234,4553232,ref,41.02117
4553314,4553311,new,36.87274
4553314,4553312,ref,34.04572
4553346,4553343,new,37.753883
4553346,4553344,ref,36.910557
4553402,4553399,new,40.837807
4553402,4553400,ref,34.354553
4553434,4553431,new,34.76754
4553434,4553432,ref,31.582863
4553438,4553435,new,39.475815
4553438,4553436,ref,34.3664
4553442,4553439,new,35.278233
4553442,4553440,ref,38.63772
4553446,4553443,new,40.038574
4553446,4553444,ref,35.203815
4553470,4553467,new,38.73187
4553470,4553468,ref,35.862442
4553506,4553503,new,35.886986
4553506,4553504,ref,39.396145
4553514,4553511,new,39.96784
4553514,4553512,ref,36.985806
4553530,4553527,new,37.270172
4553530,4553528,ref,43.4289
4553616,4553613,new,37.77117
4553616,4553614,ref,29.45402
4553632,4553629,new,41.52531
4553632,4553630,ref,33.725124
4553640,4553637,new,42.453682
4553640,4553638,ref,32.408287
4553644,4553641,new,36.95671
4553644,4553642,ref,30.583246
4553656,4553653,new,39.00106
4553656,4553654,ref,33.059784
4553704,4553701,new,39.690174
4553704,4553702,ref,35.350704
4553724,4553721,new,37.84001
4553724,4553722,ref,32.590862
4596873,4596871,new,41.89573
4596873,4553746,ref,37.507805
4553852,4553849,new,39.927692
4553852,4553850,ref,34.720253
4553896,4553893,new,34.98125
4553896,4553894,ref,46.035652
4553916,4553913,new,38.030632
4553916,4553914,ref,46.87599
4553980,4553977,new,38.32131
4553980,4553978,ref,31.924587
4554188,4554185,new,37.276115
4554188,4554186,ref,32.63791
4554212,4554209,new,38.409546
4554212,4554210,ref,36.80794
4554216,4554213,new,37.336277
4554216,4554214,ref,38.367687
4554268,4554265,new,40.53475
4554268,4554266,ref,36.76677
4554312,4554309,new,36.778416
4554312,4554310,ref,40.818947
4554452,4554449,new,28.02572
4554452,4554450,ref,27.42261
4554496,4554493,new,39.424328
4554496,4554494,ref,36.594433
4554615,4554612,new,40.41554
4554615,4554613,ref,26.756683
4554619,4554616,new,39.36814
